s/n,date,Low,high,Dew,Wind,Wind,Wind,,
0,1/1/2007,temp,Temp,Temp,Hum,Pt.,Speed,,
1,1/2/2007,23,23.6,23,34,6.3,2.2,,
2,1/3/2007,23.1,23.1,22.7,33,5.9,2.7,,
3,1/4/1900,22.9,23.2,22.8,33,5.8,2.7,,
4,1/5/2007,22.9,23.1,22.9,33,5.8,3.1,,
5,1/6/2007,22.6,22.9,22.6,34,5.9,2.7,,
6,1/7/2007,22.7,22.7,22.5,32,5.1,2.7,,
7,1/8/2007,22.6,22.7,22.6,32,5.1,2.7,,
8,1/9/2007,22.5,22.7,22.5,32,5,2.2,,
9,1/10/2007,22.2,22.5,22.2,34,5.6,3.1,,
10,1/11/2007,21.2,22.2,21.2,37,5.9,3.1,,
11,1/12/2007,20.9,21.3,20.8,37,5.6,4.9,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
